C1_OBJ_NM,DT,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,ORG_ID
지수종류별,1.095769,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201405,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.089956,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201406,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.051869,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201407,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.054902,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201408,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.080415,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201409,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.127322,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201410,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.107631,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201411,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.130287,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201412,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.108226,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201501,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.089374,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201502,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.061729,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201503,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.017902,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201504,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.249583,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201505,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.281725,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201506,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.303556,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201507,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.359084,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201508,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.334177,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201509,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.283764,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201510,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.307159,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201511,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.327392,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201512,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.362412,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201601,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.356266,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201602,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.301857,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201603,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.281453,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201604,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
